Polling Site ID,Kenyatta,Odinga,Nyagah,Dida,Aukot,Kaluyu,Jirongo,Mwaura
16082040502102,40,267,3,0,1,0,0,0
38214107205501,32,270,1,1,0,0,0,1
15067033313701,39,327,5,0,0,0,1,0
37200099802301,42,403,0,0,1,0,1,0
37199099202901,25,266,3,1,2,0,2,0
19096048210601,425,2,0,0,0,0,0,0
36196097703501,194,35,2,0,2,0,0,0
43252126008401,4,542,2,0,0,0,0,0
12055027406501,310,113,2,3,0,0,2,0
45263131100801,218,204,2,0,0,0,0,0
24132065704601,149,82,1,0,0,0,1,1
42239119505901,2,447,0,1,0,0,0,0
41236118009602,2,379,0,0,0,0,0,0
42240119701209,14,521,2,0,1,0,0,0
27145072402901,337,113,2,0,0,0,0,0
44258128302501,0,209,0,0,0,0,0,0
22118058801605,477,28,0,0,1,0,0,0
25135067406502,149,89,0,0,0,0,0,0
42238118702402,1,421,1,0,0,0,0,0
47277138100404,177,309,0,0,0,0,0,0
30161080308801,490,15,1,1,1,1,0,0
40229114201201,4,184,1,0,0,0,0,1
3012005800704,37,370,0,1,1,1,0,0
37201100809602,46,326,0,0,1,0,2,0
13061030202601,121,9,0,0,0,0,0,0
47289144201805,260,200,0,1,1,0,1,1
7030014600201,97,261,1,1,0,0,0,0
1004001700906,144,286,0,1,0,0,0,0
47275137100401,218,275,2,1,3,0,0,2
17085042001701,24,321,1,1,4,0,2,0
19096048210202,473,5,0,1,1,0,0,0
40228114004701,40,323,1,1,0,0,0,1
39220110106901,84,284,3,1,1,0,2,1
21110055008601,553,2,0,2,1,0,0,1
44260130005701,234,38,1,0,0,0,0,0
27142071106105,199,261,2,0,1,0,2,0
33182090803402,91,448,3,0,0,0,0,0
32167083102702,284,4,0,0,1,1,1,0
42242120805201,4,534,0,0,0,0,0,0
39220110310801,103,201,2,0,1,0,1,0
31163081509704,458,27,0,0,1,1,1,2
22114056702702,477,50,1,0,0,0,0,0
47281140100313,150,319,0,0,0,0,0,0
27146072801102,277,9,1,0,0,0,0,0
19095047513001,513,4,0,0,0,0,0,0
37208103802401,36,457,0,0,0,0,0,0
36195097102301,312,148,6,3,3,0,0,0
8037018000801,146,46,1,4,1,0,0,0
45265132301601,152,367,1,0,1,0,0,0
20100050106701,428,9,1,0,1,1,1,3
18093046202001,320,2,0,0,0,1,0,0
26140069704102,263,185,5,3,4,1,0,0
32167083101501,391,1,0,1,0,0,0,0
33178089005201,256,76,3,1,1,0,0,1
30158078906501,205,13,0,0,0,0,0,0
23125062607401,110,28,1,0,2,0,0,1
14066033008701,245,4,0,0,0,0,0,1
40230114802301,15,220,1,0,0,0,0,0
13062030601201,54,7,0,0,0,0,0,0
36195097204102,188,138,2,0,1,0,0,0
25135067201501,10,79,0,0,0,0,0,0
32167083507302,436,62,0,0,0,0,0,0
31164082108402,385,6,0,0,1,2,0,0
43248123801901,3,449,0,0,1,0,0,0
13060029911202,389,22,0,0,0,1,0,0
27145072504301,293,32,0,0,0,0,0,0
41232115601401,1,468,2,0,0,0,0,0
47285142501004,266,233,0,1,2,0,0,0
31165082508502,108,186,1,1,0,0,0,0
47285142300517,201,268,0,0,0,0,1,1
35190094400701,397,5,0,0,2,1,1,0
47274136600110,235,258,0,0,0,0,0,0
15072035606001,180,289,1,1,2,1,1,2
22114056401101,338,139,1,0,0,0,0,1
22120059903004,434,21,2,0,0,0,0,0
33180089701701,234,357,3,0,0,0,1,0
40227113401401,42,427,4,0,2,0,0,0
11050025004001,88,45,0,15,0,0,0,0
37204102001501,22,141,0,0,1,0,0,0
36196097600402,298,22,0,0,0,1,1,0
27141070404701,312,29,0,0,0,1,0,0
39216107905901,421,40,3,0,2,3,2,1
23124061701302,66,105,0,0,5,0,0,0
32173086001401,228,94,0,0,0,0,0,0
46273136302102,288,136,1,0,5,0,0,0
45264132009902,160,156,1,0,0,0,0,1
29151075102401,397,3,0,1,1,2,0,3
47278138800502,138,307,3,2,0,0,1,0
7032016005702,332,102,3,44,1,0,0,0
16077038203501,130,365,5,0,0,1,0,1
15067033208401,2,102,0,2,2,0,0,2
6026012500702,92,209,1,0,0,1,1,1
32174086705304,442,9,0,1,0,0,1,1
47284141800511,249,259,0,0,0,0,0,0
39217108201101,170,165,1,0,2,0,0,1
36198098908002,299,32,0,0,0,0,1,0
2009004004202,37,349,3,1,0,0,1,0
37202101206203,72,381,0,4,0,0,0,0
7031015302101,218,3,0,5,0,0,0,0
1001000200402,146,244,0,0,0,0,0,0
12054026905501,349,36,2,0,2,1,1,1
15074036500101,63,148,2,0,1,1,0,0
32176088005102,456,58,1,0,0,0,0,0
43251125304701,1,525,2,0,0,0,0,0
13060029601001,493,25,0,1,0,0,0,0
43250125011901,1,238,0,0,0,0,0,0
15074036503101,31,146,0,0,0,1,0,2
7027013202201,65,220,2,5,0,0,0,0
3015007203202,44,385,1,2,2,2,0,1
42240119600701,27,386,2,1,1,0,0,0
33180089802701,149,117,1,0,0,0,0,0
42239119404501,4,389,0,0,0,0,0,0
30159079506601,47,1,1,0,0,0,0,0
37202101206601,34,452,4,1,1,0,0,0
32170085105001,546,9,4,0,0,0,1,0
45264131704001,174,196,2,0,0,0,0,0
6026012501301,46,150,1,0,0,1,0,0
18089044404201,354,4,0,0,0,0,0,0
